lr = 0.0005,lr = 0.0006,lr = 0.0007,lr = 0.0008,lr = 0.0009,lr = 0.001,lr = 0.0011,lr = 0.0012,lr = 0.0013,lr = 0.0014,lr = 0.0015,lr = 0.0016,lr = 0.0017,lr = 0.0018,lr = 0.0019,lr = 0.002,lr = 0.0021,lr = 0.0022,lr = 0.0023,lr = 0.0024
,,,,,,,,,,,,,,,,,,,
11.0893,29.4404,20.2268,33.2412,21.7612,14.585,23.589,15.416,23.9418,11.5763,13.0492,5.53404,15.0019,9.87141,6.24668,8.38103,-0.455666,19.7191,12.5984,11.4174
8.59675,23.8686,15.0862,26.2738,16.5553,10.9626,17.3523,11.2543,17.6338,8.79379,9.45489,4.6794,11.1671,7.17224,4.8612,6.56796,-0.430212,16.5752,9.26143,8.28731
7.24933,20.1272,12.1006,21.8255,13.4274,8.80075,13.8406,8.90263,14.0756,7.0836,7.43385,4.02912,8.92068,5.62236,3.94456,5.37346,-0.405941,14.2983,7.33311,6.50858
6.8214,17.4116,10.1012,18.6919,11.2963,7.33393,11.5229,7.34929,11.7251,5.90576,6.10267,3.51661,7.41069,4.59252,3.2875,4.5182,-0.382824,12.5626,6.04641,5.33176
6.43554,15.3382,8.65315,16.3469,9.73605,6.26353,9.85885,6.23432,10.0367,5.03848,5.14928,3.10191,6.31519,3.85179,2.7917,3.87252,-0.360826,11.1906,5.11758,4.48704
6.08582,13.6973,7.54979,14.5178,8.53804,5.44405,8.59825,5.3904,8.7571,4.37061,4.4291,2.7594,5.47987,3.29114,2.40387,3.36664,-0.33992,10.0762,4.41216,3.84822
5.76735,12.363,6.67827,13.047,7.58627,4.79479,7.60662,4.72741,7.75024,3.83941,3.86438,2.4718,4.82004,2.85129,2.09228,2.95922,-0.32007,9.1516,3.85682,3.3471
5.47613,11.2549,5.97104,11.8361,6.81035,4.26693,6.80436,4.1919,6.93545,3.4064,3.40912,2.22705,4.28482,2.49687,1.83672,2.62402,-0.301239,8.3712,3.40775,2.94313
5.2088,10.3189,5.38491,10.8205,6.16485,3.82899,6.141,3.74997,6.26158,3.04654,3.03413,2.01639,3.84159,2.2053,1.62363,2.34351,-0.283392,7.7032,3.03696,2.61052
4.96254,9.51714,4.89086,9.95562,5.61898,3.45968,5.58281,3.37891,5.69446,2.74278,2.71991,1.83335,3.46839,1.96144,1.44357,2.10548,-0.266489,7.12461,2.72564,2.33201
4.73496,8.82216,4.46857,9.20966,5.15108,3.14404,5.10635,3.06296,5.21028,2.48305,2.45291,1.673,3.14983,1.75471,1.2897,1.90116,-0.250498,6.6184,2.46063,2.09557
4.52403,8.21369,4.10339,8.55933,4.74542,2.87122,4.69474,2.79073,4.79194,2.25855,2.22335,1.53152,2.87477,1.57747,1.157,1.72404,-0.235378,6.17168,2.23247,1.89252
4.32798,7.67635,3.78445,7.98711,4.39031,2.63313,4.33553,2.55383,4.4268,2.0627,2.02404,1.40593,2.63496,1.42408,1.04163,1.56923,-0.221092,5.77445,2.03411,1.71645
4.14532,7.19823,3.50351,7.47958,4.07684,2.42364,4.01928,2.34591,4.10528,1.8905,1.84951,1.29384,2.42413,1.29024,0.940655,1.43294,-0.207603,5.41889,1.86023,1.56251
3.97473,6.76996,3.25419,7.02625,3.7981,2.23798,3.73875,2.16207,3.82003,1.73805,1.69558,1.1933,2.23742,1.17265,0.851742,1.3122,-0.194876,5.09874,1.7067,1.42695
3.81507,6.38409,3.0315,6.61882,3.54864,2.07242,3.48822,1.99847,3.56525,1.60225,1.55894,1.10275,2.07103,1.0687,0.773052,1.20464,-0.182875,4.80896,1.5703,1.30683
3.66532,6.03459,2.83142,6.25062,3.32412,1.92395,3.26317,1.85203,3.33635,1.48066,1.43696,1.02088,1.9219,0.97633,0.703087,1.10836,-0.171564,4.54543,1.44843,1.19981
3.52462,5.71652,2.65076,5.91621,3.12101,1.79015,3.05995,1.7203,3.12961,1.37126,1.32754,0.946599,1.78758,0.893858,0.64064,1.02181,-0.160912,4.30475,1.33902,1.10399
3.39217,5.42583,2.48686,5.61113,2.93644,1.66904,2.87556,1.60127,2.94201,1.27242,1.22894,0.878994,1.66606,0.81992,0.584694,0.943697,-0.150881,4.08408,1.24036,1.01783
3.26729,5.15911,2.33755,5.33168,2.76803,1.55897,2.70756,1.49326,2.77105,1.18277,1.13975,0.817292,1.55567,0.753384,0.53442,0.872955,-0.141445,3.88105,1.15105,0.940071
3.14935,4.91354,2.20103,5.07476,2.61377,1.45859,2.55389,1.3949,2.61466,1.10119,1.05877,0.760834,1.45504,0.693312,0.489113,0.808691,-0.13257,3.69364,1.06991,0.86964
3.03781,4.6867,2.07577,4.83777,2.47201,1.36674,2.41285,1.30503,2.4711,1.02672,0.985016,0.709055,1.36299,0.638916,0.448177,0.750147,-0.124226,3.52014,0.99597,0.805649
2.93218,4.47653,1.96048,4.61848,2.34132,1.28245,2.28298,1.22268,2.33889,0.958548,0.917649,0.661463,1.27855,0.589525,0.411106,0.696676,-0.116381,3.35908,0.928387,0.747347
2.832,4.28127,1.85407,4.41498,2.2205,1.20488,2.16305,1.14699,2.21677,0.895978,0.85595,0.617638,1.20088,0.544571,0.377472,0.647722,-0.109013,3.20918,0.866459,0.694094
2.73687,4.09941,1.7556,4.22565,2.1085,1.13333,2.052,1.07727,2.10368,0.838417,0.799305,0.577202,1.12924,0.503567,0.346893,0.602812,-0.102095,3.06934,0.80957,0.645336
2.64644,3.92962,1.66424,4.04906,2.00443,1.06717,1.94892,1.01288,1.99868,0.78535,0.747185,0.539839,1.06303,0.411549,0.319046,0.561529,-0.0955982,2.93861,0.7572,0.600603
2.56038,3.77076,1.57931,3.88399,1.90752,1.00587,1.85301,0.953295,1.90098,0.736329,0.699133,0.505259,1.0017,0.381721,0.293644,0.523516,-0.0895023,2.81615,0.708893,0.559481
2.47839,3.62181,1.50017,3.72935,1.81708,0.948957,1.76359,0.898052,1.80987,0.690962,0.654747,0.47321,0.944782,0.354298,0.270447,0.488451,-0.0837841,2.7012,0.664246,0.521612
2.40019,3.48189,1.4263,3.58421,1.73251,0.896032,1.68005,0.846737,1.72474,0.648908,0.613678,0.443469,0.891863,0.329052,0.249229,0.456062,-0.0784206,2.59313,0.622915,0.486683
2.32554,3.35023,1.35722,3.44772,1.65329,0.846727,1.60187,0.798988,1.64505,0.609864,0.575619,0.415833,0.842577,0.305782,0.229809,0.426102,-0.073391,2.49135,0.584595,0.454414
2.25421,3.22611,1.29251,3.31916,1.57897,0.800724,1.52857,0.754494,1.57032,0.57356,0.540297,0.39013,0.796602,0.284307,0.212002,0.398354,-0.068676,2.39535,0.549009,0.424566
2.18599,3.10893,1.23181,3.19785,1.50911,0.757741,1.45973,0.712969,1.50014,0.539763,0.507468,0.366196,0.753658,0.264471,0.195667,0.372622,-0.0642567,2.30466,0.515924,0.396917
2.1207,2.99813,1.17477,3.08323,1.44337,0.717525,1.395,0.674162,1.43412,0.508257,0.476922,0.34389,0.713488,0.24613,0.180672,0.348734,-0.0601139,2.21886,0.485121,0.371281
2.05816,2.89322,1.1211,2.97475,1.38141,0.679851,1.33403,0.637852,1.37193,0.478853,0.448462,0.323081,0.675867,0.229156,0.166885,0.326538,-0.0562325,2.1376,0.456411,0.347479
1.9982,2.79375,1.07055,2.87196,1.32293,0.644519,1.27654,0.603836,1.31327,0.451384,0.421919,0.303652,0.640589,0.213436,0.154209,0.305891,-0.052599,2.06053,0.429623,0.325361
1.94068,2.69931,1.02286,2.77443,1.26768,0.611341,1.22226,0.571936,1.25788,0.425694,0.397141,0.2855,0.607471,0.198866,0.14254,0.286669,-0.0491943,1.98736,0.404604,0.304787
1.88546,2.60956,0.977842,2.68177,1.21541,0.58016,1.17095,0.54199,1.2055,0.401647,0.373988,0.268525,0.576355,0.185352,0.131798,0.268759,-0.0460052,1.9178,0.381214,0.285635
1.8324,2.52416,0.935281,2.59365,1.16591,0.550825,1.12238,0.513849,1.15592,0.379117,0.35233,0.252642,0.547087,0.172812,0.121895,0.25206,-0.0430222,1.85161,0.359327,0.267788
1.78141,2.44281,0.895008,2.50974,1.11899,0.523201,1.07637,0.487381,1.10894,0.357993,0.332058,0.237771,0.519531,0.161161,0.112766,0.236481,-0.0402279,1.78857,0.338831,0.251148
1.73235,2.36525,0.856863,2.42976,1.07446,0.497166,1.03274,0.462465,1.06438,0.33817,0.313071,0.223841,0.493567,0.150339,0.104347,0.221933,-0.0376148,1.72847,0.319618,0.235622
1.68513,2.29121,0.820701,2.35347,1.03216,0.47261,0.99133,0.438993,1.02207,0.319555,0.295268,0.210782,0.469082,0.140278,0.0965805,0.208342,-0.0351696,1.67112,0.301601,0.221127
1.63966,2.22049,0.78639,2.2806,0.991949,0.44943,0.951985,0.416861,0.981875,0.302063,0.278571,0.198533,0.445974,0.130919,0.0894089,0.195637,-0.0328808,1.61634,0.284693,0.207582
1.59585,2.15286,0.75381,2.21095,0.953691,0.427534,0.914574,0.395981,0.943641,0.285615,0.262896,0.187043,0.424152,0.12221,0.0827827,0.183754,-0.0307388,1.56397,0.268812,0.19492
1.55361,2.08814,0.722847,2.14431,0.917261,0.406837,0.878976,0.376268,0.907248,0.270141,0.248173,0.176257,0.40353,0.114103,0.0766602,0.172632,-0.0287361,1.51388,0.253891,0.183079
1.51286,2.02616,0.693401,2.08052,0.882545,0.387262,0.845071,0.357647,0.872581,0.255573,0.234337,0.166127,0.384027,0.106554,0.071003,0.162224,-0.0268612,1.46593,0.239862,0.171997
1.47354,1.96675,0.66538,2.01938,0.849438,0.368734,0.81276,0.340044,0.839534,0.241854,0.221331,0.156607,0.365576,0.0995235,0.0657692,0.152473,-0.0251083,1.41999,0.226667,0.161623
1.43558,1.90976,0.638692,1.96076,0.817848,0.351191,0.781945,0.323397,0.808013,0.228925,0.209094,0.14766,0.348104,0.0929699,0.0609322,0.143337,-0.0234699,1.37594,0.214247,0.151905
1.3989,1.85506,0.613264,1.90451,0.78768,0.334568,0.752537,0.30764,0.777919,0.216736,0.197577,0.13925,0.331556,0.0868607,0.0564613,0.134771,-0.0219364,1.33369,0.202553,0.142801
1.36346,1.80252,0.589015,1.85049,0.758856,0.318811,0.724458,0.292721,0.749179,0.205239,0.186734,0.131339,0.31587,0.0811653,0.0523224,0.126741,-0.020504,1.29313,0.191538,0.134266
1.3292,1.75201,0.565885,1.79858,0.731297,0.303867,0.697629,0.278593,0.721709,0.194392,0.17652,0.123896,0.300999,0.0758533,0.0484924,0.119209,-0.0191612,1.25417,0.181154,0.126265
1.29606,1.70344,0.543806,1.74866,0.704935,0.289686,0.671979,0.265203,0.695441,0.184153,0.166895,0.116892,0.28689,0.0708981,0.0449448,0.112141,-0.0179081,1.21673,0.171368,0.118757
1.26399,1.6567,0.52272,1.70064,0.679701,0.276228,0.647443,0.252512,0.670314,0.174483,0.157826,0.110301,0.273499,0.0662727,0.0416603,0.105507,-0.016737,1.18073,0.16214,0.111715
1.23295,1.61169,0.502571,1.6544,0.655539,0.263445,0.623963,0.240471,0.646255,0.16535,0.149271,0.104092,0.260786,0.0619564,0.03862,0.0992775,-0.0156403,1.14609,0.153435,0.105104
1.20289,1.56833,0.48331,1.60987,0.632385,0.251303,0.601475,0.229048,0.62321,0.156719,0.141201,0.0982461,0.248713,0.0579262,0.0358086,0.0934296,-0.014616,1.11274,0.145218,0.0988998
1.17377,1.52653,0.464887,1.56695,0.610193,0.239763,0.579938,0.218204,0.60113,0.148561,0.133589,0.0927377,0.23724,0.0541649,0.0331993,0.0879364,-0.0136585,1.08063,0.137463,0.0930729
1.14556,1.48622,0.447261,1.52556,0.588909,0.228792,0.559293,0.207912,0.579959,0.140848,0.126402,0.0875459,0.226334,0.0506496,0.0307884,0.0827751,-0.012764,1.04968,0.130138,0.0875988
1.1182,1.44732,0.430391,1.48563,0.568489,0.218359,0.539498,0.198135,0.559657,0.133554,0.119622,0.0826554,0.215965,0.0473652,0.0285492,0.0779228,-0.0119267,1.01985,0.123222,0.0824547
1.09168,1.40977,0.414236,1.44709,0.548889,0.208433,0.520512,0.188847,0.540175,0.126652,0.113217,0.0780435,0.206102,0.0442982,0.026474,0.0733643,-0.0111446,0.991081,0.116688,0.0776215
1.06596,1.3735,0.398759,1.40987,0.530069,0.198988,0.464804,0.180019,0.521472,0.120122,0.107167,0.0736966,0.19672,0.0414352,0.0245514,0.0690804,-0.0104141,0.963322,0.110512,0.0730782
1.041,1.33846,0.38393,1.37391,0.511993,0.189997,0.44879,0.171629,0.503516,0.113942,0.10145,0.0695977,0.18779,0.0387592,0.0227699,0.0650501,-0.00973129,0.936529,0.104675,0.0688076
1.01677,1.30458,0.369714,1.33916,0.494619,0.181437,0.433398,0.163649,0.486266,0.108091,0.0960507,0.0657315,0.179291,0.0362568,0.0211143,0.0612602,-0.00909233,0.910658,0.0991554,0.0647926
0.993246,1.27182,0.356081,1.30555,0.477921,0.173285,0.418605,0.156059,0.469684,0.102551,0.0909467,0.0620866,0.171198,0.0339184,0.0195885,0.0576954,-0.00849533,0.885666,0.0939369,0.0610161
0.970402,1.24013,0.343006,1.27304,0.461863,0.165518,0.404376,0.148838,0.45375,0.0973053,0.0861211,0.0586457,0.163488,0.0317326,0.0181694,0.0543423,-0.00793648,0.861517,0.0890045,0.0574646
0.948212,1.20945,0.330459,1.24158,0.446413,0.158119,0.390689,0.141968,0.438426,0.0923347,0.0815587,0.0553975,0.156145,0.0296898,0.0168533,0.0511875,-0.00741577,0.838171,0.0843353,0.0541229
0.92665,1.17975,0.318416,1.21112,0.431549,0.151066,0.377513,0.135429,0.423682,0.0876265,0.0772462,0.0523343,0.149147,0.0277786,0.0156364,0.0482197,-0.0069294,0.815594,0.0799179,0.0509796
0.905694,1.15098,0.306854,1.18163,0.417242,0.144342,0.364836,0.129206,0.409495,0.0831652,0.0731664,0.0494447,0.142477,0.0259914,0.0145035,0.0454254,-0.00647354,0.793755,0.075737,0.0480213
0.885321,1.12311,0.295751,1.15305,0.403467,0.137934,0.352629,0.123278,0.395843,0.0789366,0.0693059,0.0467153,0.13612,0.0243206,0.0134544,0.0427971,-0.0060463,0.772623,0.0717812,0.0452385
0.86551,1.09609,0.285085,1.12535,0.390198,0.131819,0.340873,0.117634,0.382697,0.0749283,0.0656552,0.0441403,0.130058,0.0227585,0.0124855,0.0403233,-0.00564957,0.752169,0.0680351,0.0426178
0.846241,1.0699,0.274837,1.0985,0.377417,0.125988,0.329547,0.112257,0.370036,0.0711288,0.0622029,0.0417085,0.124277,0.0212994,0.0115814,0.0379944,-0.00527954,0.732365,0.0644913,0.0401535
0.827495,1.0445,0.264989,1.07247,0.365101,0.120426,0.318637,0.107138,0.357841,0.0675268,0.0589337,0.0394139,0.118763,0.0199318,0.0107422,0.0358009,-0.0049324,0.713182,0.0611343,0.0378323
0.809253,1.01985,0.255523,1.04721,0.35323,0.11512,0.308123,0.102259,0.346091,0.0641117,0.05584,0.0372453,0.113504,0.0186539,0.0099678,0.0337334,-0.00460815,0.694599,0.0579567,0.0356464
0.791499,0.995934,0.246421,1.02269,0.341787,0.110054,0.297988,0.0976067,0.334765,0.0608721,0.0529103,0.0351987,0.108486,0.017458,0.00924683,0.0317898,-0.00430489,0.67659,0.0549469,0.0335884
0.774215,0.972717,0.237667,0.998901,0.330751,0.105221,0.288214,0.093174,0.323848,0.0578003,0.050139,0.0332646,0.103695,0.0163383,0.00857925,0.0299587,-0.00402069,0.659134,0.0520935,0.0316505
0.757386,0.950172,0.229248,0.975796,0.320107,0.100607,0.278792,0.0889492,0.313319,0.0548859,0.0475144,0.0314393,0.0991249,0.0152912,0.00796127,0.0282345,-0.00375557,0.642208,0.0493927,0.0298271
0.740996,0.928276,0.221147,0.953358,0.309837,0.096199,0.269702,0.0849209,0.303168,0.0521212,0.0450292,0.0297132,0.0947647,0.0143127,0.00738525,0.0266094,-0.00350952,0.625793,0.0468369,0.0281067
0.72503,0.907001,0.213352,0.931561,0.299931,0.0919933,0.260932,0.0810795,0.293376,0.0494986,0.0426755,0.0280843,0.090601,0.0133953,0.0068512,0.0250778,-0.00327682,0.609869,0.0444145,0.0264874
0.709476,0.886328,0.20585,0.910378,0.290369,0.0879745,0.252471,0.0774174,0.283927,0.0470095,0.0404477,0.026545,0.0866241,0.012537,0.0063591,0.0236359,-0.0030632,0.594419,0.0421219,0.0249634
0.694318,0.86623,0.198629,0.88979,0.281137,0.0841389,0.244307,0.0739269,0.27481,0.0446482,0.0383363,0.0250916,0.0828285,0.011734,0.00590134,0.0222778,-0.00286102,0.579426,0.0399437,0.0235291
0.679545,0.846693,0.191677,0.86977,0.272224,0.0804729,0.236422,0.0705948,0.266006,0.0424061,0.0363355,0.0237203,0.0792007,0.0109844,0.00547791,0.0209961,-0.0026722,0.564871,0.0378838,0.0221748
0.665144,0.827692,0.184984,0.850304,0.263618,0.076973,0.228816,0.0674171,0.257506,0.0402784,0.0344434,0.0224233,0.0757389,0.0102806,0.00508118,0.0197906,-0.00249481,0.550739,0.0359268,0.0209007
0.651104,0.80921,0.178537,0.831367,0.255304,0.0736275,0.221469,0.0643845,0.249305,0.0382595,0.0326486,0.0211949,0.0724297,0.00962257,0.00471497,0.0186558,-0.00233078,0.537018,0.0340767,0.0196991
0.637412,0.791227,0.172327,0.812946,0.247276,0.0704308,0.214373,0.0614929,0.241385,0.0363436,0.0309491,0.0200353,0.0692692,0.00900459,0.00437546,0.0175858,-0.00217628,0.523687,0.0323181,0.018568
0.624059,0.773727,0.166345,0.795021,0.239519,0.0673771,0.207522,0.0587311,0.233733,0.034523,0.0293393,0.0189404,0.0662518,0.00842857,0.00405884,0.0165787,-0.00203323,0.510736,0.0306549,0.0175018
0.611033,0.756693,0.160581,0.777573,0.232021,0.0644569,0.200904,0.0560989,0.22634,0.0327959,0.0278134,0.0179048,0.0633678,0.0078907,0.00376892,0.0156269,-0.00189972,0.498154,0.0290756,0.0164967
0.598326,0.740108,0.155029,0.760582,0.224775,0.0616684,0.19451,0.0535851,0.219199,0.0311556,0.0263677,0.0169263,0.0606117,0.00738716,0.00349426,0.0147305,-0.00177383,0.485926,0.0275803,0.0155506
0.585926,0.723961,0.149677,0.744041,0.217773,0.0590019,0.18833,0.0511856,0.212298,0.0295982,0.0249982,0.0160012,0.0579758,0.00691414,0.00324249,0.0138855,-0.00165749,0.474039,0.0261612,0.0146599
0.573825,0.708231,0.144519,0.727928,0.211004,0.0564518,0.18236,0.0488968,0.20563,0.02812,0.0237017,0.0151277,0.05546,0.00647354,0.0030098,0.0130901,-0.00154877,0.462482,0.0248184,0.0138187
0.562014,0.692909,0.139545,0.712231,0.204456,0.0540161,0.176589,0.046711,0.199183,0.0267162,0.0224714,0.0143037,0.0530529,0.00605965,0.00279236,0.0123405,-0.00144577,0.451244,0.0235443,0.0130272
0.550485,0.67798,0.134752,0.696941,0.198128,0.0516853,0.171012,0.0446262,0.192954,0.025383,0.021306,0.0135236,0.0507545,0.00567055,0.00259018,0.0116329,-0.0013504,0.440315,0.0223351,0.0122814
0.539228,0.663435,0.13013,0.682037,0.192005,0.0494576,0.165618,0.042635,0.186927,0.0241165,0.0202017,0.0127873,0.0485554,0.00530815,0.00240326,0.0109673,-0.00126076,0.429686,0.0211868,0.0115776
0.528237,0.649256,0.125673,0.667515,0.186083,0.0473289,0.160403,0.0407314,0.181102,0.0229139,0.0191526,0.0120893,0.0464535,0.00497055,0.00222778,0.0103397,-0.00117874,0.419344,0.0200996,0.0109158
0.517503,0.635433,0.121374,0.653358,0.180355,0.04529,0.155364,0.0389175,0.175464,0.0217714,0.0181608,0.0114312,0.044445,0.00465202,0.00206757,0.00974846,-0.00110245,0.409281,0.0190697,0.0102901
0.507019,0.621956,0.117227,0.639549,0.174814,0.0433426,0.150489,0.0371857,0.170016,0.0206871,0.0172186,0.0108075,0.0425224,0.00435448,0.00192261,0.00919151,-0.00102997,0.399488,0.0180893,0.00970078
0.496778,0.608814,0.113229,0.626091,0.169453,0.0414791,0.145774,0.0355301,0.164748,0.0196562,0.0163279,0.0102201,0.0406876,0.004076,0.00178528,0.00866508,-0.000961304,0.389957,0.0171623,0.00914574
0.486773,0.595997,0.109371,0.612961,0.164265,0.0396976,0.141215,0.0339489,0.159652,0.0186777,0.015481,0.00966501,0.0389309,0.0038166,0.00165558,0.00816917,-0.000900269,0.380682,0.0162849,0.00862122
0.476998,0.583492,0.105649,0.600151,0.159243,0.0379944,0.136801,0.0324402,0.154719,0.0177479,0.0146799,0.00913858,0.0372505,0.00357246,0.00153351,0.00770187,-0.000839233,0.371649,0.0154495,0.00812912
0.467445,0.571295,0.10206,0.587658,0.154383,0.0363636,0.132537,0.0309982,0.149943,0.0168648,0.0139208,0.00864077,0.0356426,0.00334358,0.00142288,0.00726318,-0.000785828,0.362856,0.0146561,0.00766373
0.45811,0.559393,0.0985942,0.575462,0.149677,0.0348053,0.128405,0.0296211,0.145324,0.0160255,0.0132017,0.00817156,0.0341072,0.00312996,0.00131989,0.00684738,-0.000732422,0.354294,0.0139084,0.00722694
0.448986,0.547777,0.0952525,0.563564,0.145123,0.0333138,0.124411,0.0283051,0.140853,0.0152292,0.0125189,0.00772715,0.0326366,0.00292969,0.00122452,0.00645638,-0.000684738,0.345953,0.013195,0.00681305
